Planet Name,Host Name,Number of Stars in System,Number of Planets in System,Discovery Method,Discovery Year,Controversial Flag,Orbital Period,Semi-Major Axis,Planet Earth Radius,Planet Jupiter Radius,Planet Earth Mass,Planet Jupiter Mass,Insolation Flux,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Distance
K2-141 b,K2-141,1,2,Transit,2018,0,0.2803246,,1.64829,0.14705084,,,3967.92,2211.0,4477.0,0.72,,61.8736
K2-141 c,K2-141,1,2,Transit,2018,0,7.7485,,7.0,0.62449817,7.4,0.02328289,,,4599.0,0.681,0.708,61.8736
K2-146 b,K2-146,1,2,Transit,2018,0,2.643528,,1.47,0.131,,,,,,0.226,,79.3002
K2-146 c,K2-146,1,2,Transit,2019,0,4.00498,,2.19,0.19537871,7.49,0.02358,,,3385.0,0.33,0.331,79.3002
K2-147 b,K2-147,1,1,Transit,2018,0,0.961918,,0.73,0.06512635,,,,,3775.0,0.31,,90.5494
K2-148 b,K2-148,2,3,Transit,2018,0,4.38395,0.0454,1.33,0.11865465,,,48.8,,4079.0,0.632,0.65,124.458
K2-148 c,K2-148,2,3,Transit,2018,0,6.92251,,0.9,0.08,,,,,,0.371,,124.458
K2-148 d,K2-148,2,3,Transit,2018,0,9.7579,0.0774,1.64,0.146311,,,16.8,,4079.0,0.632,0.65,124.458
K2-149 b,K2-149,1,1,Transit,2018,0,11.332,0.083,1.64,0.146311,,,7.0,,3745.0,0.568,0.595,123.676
K2-15 b,K2-15,1,1,Transit,2015,0,11.8104,0.091,2.48,0.22125078,,,,676.0,5131.0,0.68,0.72,493.992
K2-150 b,K2-150,1,1,Transit,2018,0,10.59366,,1.71,0.153,,,,,,0.36,,102.483
K2-151 b,K2-151,2,1,Transit,2018,0,3.83553,,1.054,0.09403,,,,,,0.321,,69.4798
K2-152 b,K2-152,1,1,Transit,2018,0,32.6479,0.1716,2.29,0.20430012,,,,337.0,4044.0,0.61,0.63,108.449
K2-153 b,K2-153,1,1,Transit,2018,0,7.51554,0.0601,2.0,0.17842805,,,11.8,,3720.0,0.495,0.512,143.125
K2-154 b,K2-154,1,2,Transit,2018,0,3.67626,0.0405,1.99,0.17753591,,,,715.0,4097.0,0.63,0.65,129.356
K2-154 c,K2-154,1,2,Transit,2018,0,7.95478,0.0683,2.1,0.18734945,,,20.5,,3978.0,0.649,0.672,129.356
K2-155 b,K2-155,1,3,Transit,2018,0,6.34365,0.0546,1.55,0.13828174,,,19.9,,3919.0,0.526,0.54,72.7998
K2-155 c,K2-155,1,3,Transit,2018,0,13.85,0.0946,2.6,0.23195646,,,,583.0,4258.0,0.58,0.65,72.7998
K2-155 d,K2-155,1,3,Transit,2018,0,40.718,0.1937,1.9,0.16950665,,,,381.0,4258.0,0.58,0.65,72.7998
K2-156 b,K2-156,1,1,Transit,2018,0,0.81314,0.0149,1.15,0.10259613,,,,1347.0,4597.0,0.66,0.66,150.21
K2-157 b,K2-157,1,3,Transit,2018,0,0.3652575,0.00962,0.935,0.0834,1.14,0.0036,6660.0,2432.0,5334.0,0.86,0.89,298.373
K2-157 c,K2-157,1,3,Radial Velocity,2025,0,25.942,0.165,,,30.8,0.0967,22.65,587.0,5334.0,0.86,0.89,298.373
K2-157 d,K2-157,1,3,Radial Velocity,2025,0,66.5,0.309,,,23.3,0.0732,6.46,429.1,5334.0,0.86,0.89,298.373
K2-158 b,K2-158,1,2,Transit,2018,0,10.06049,0.0887,2.64,0.23552502,,,,794.0,5503.0,0.95,0.92,197.299
K2-158 c,K2-158,1,2,Transit,2018,0,5.90279,0.0622,1.28,0.11419395,,,,948.0,5503.0,0.95,0.92,197.299
K2-159 b,K2-159,1,1,Transit,2018,0,12.421078,,2.20753881,0.19694342,,,,,5419.0,0.829915,0.8857,170.998
K2-16 b,K2-16,1,3,Transit,2015,0,7.62067,0.0662,2.13,0.19002587,,,,710.0,4761.0,0.64,0.67,334.967
K2-16 c,K2-16,1,3,Transit,2015,0,19.07863,0.1229,2.54,0.22660362,,,13.1,485.0,4742.0,0.66,0.68,334.967
K2-160 b,K2-160,1,1,Transit,2018,0,3.705871,,3.17824034,0.28354361,,,,,5649.0,0.913754,0.982829,315.363
K2-161 b,K2-161,1,1,Transit,2018,0,9.283188,,6.11721229,0.54574113,,,,,4972.0,2.568173,0.986876,916.319
K2-162 b,K2-162,1,1,Transit,2018,0,9.45889,0.0795,1.44,0.1284682,,,,631.0,4842.0,0.69,0.75,124.433
K2-163 b,K2-163,1,1,Transit,2018,0,6.673117,,2.46610713,0.22001134,,,,,4937.0,0.762201,0.826112,208.529
K2-164 b,K2-164,1,1,Transit,2018,0,17.3678,,1.93,0.172,,,,,,1.27,,375.67
K2-165 b,K2-165,1,3,Transit,2018,0,2.354992,,1.27443657,0.11369762,,,,,5185.0,0.803827,0.834847,134.591
K2-165 c,K2-165,1,3,Transit,2018,0,4.382745,,1.55409035,0.13864665,,,,,5185.0,0.803827,0.834847,134.591
K2-165 d,K2-165,1,3,Transit,2018,0,14.06660140645,,3.19087767,0.28467153,,,37.0819,629.38,5141.67,0.837606,,134.591
K2-166 b,K2-166,1,2,Transit,2018,0,8.527219,,1.82322896,0.16265759,,,,,5922.0,1.196219,1.072665,476.882
K2-167 b,K2-167,1,1,Transit,2018,0,9.978541,0.0932,2.36509493,0.211,,,,1220.0,6310.0,1.499,1.084,80.8994
K2-168 b,K2-168,1,2,Transit,2018,0,15.8523,,2.19,0.195,,,,,,0.904,,243.935
K2-169 b,K2-169,1,1,Transit,2018,0,6.37961,,1.41,0.12579177,,,,,5347.0,0.83,,235.867
K2-17 b,K2-17,1,1,Transit,2015,0,17.96753,0.119,2.23,0.19894727,,,,487.0,4320.0,0.66,0.71,125.106
K2-170 b,K2-170,1,2,Transit,2018,0,7.5767206,,1.5,0.13382104,,,,,5749.0,0.98,,392.872
K2-170 c,K2-170,1,2,Transit,2018,0,12.400731,,1.92,0.17129093,,,,,5749.0,0.98,,392.872
K2-171 b,K2-171,1,1,Transit,2018,0,5.6228,,3.71,0.331,,,,,,2.378,,606.128
K2-172 b,K2-172,1,2,Transit,2018,0,14.316941,,1.66608079,0.14863777,,,,,5569.0,0.868889,0.934356,249.742
K2-172 c,K2-172,1,2,Transit,2018,0,29.626,,,,,,,,5547.0,0.857949,0.977,249.742
K2-173 b,K2-173,1,1,Transit,2018,0,5.868699,,1.60826194,0.14347952,,,,,5580.0,0.843154,0.881538,228.641
K2-174 b,K2-174,1,1,Transit,2018,0,19.5661401,,,,,,,,4246.81,0.758892,0.66,99.9293
K2-175 b,K2-175,1,1,Transit,2018,0,9.525988,,2.03803688,0.18182147,,,,,5909.0,1.420038,1.094693,247.266
K2-176 b,K2-176,1,1,Transit,2018,0,5.32944,,1.55,0.138,,,,,,0.911,,247.302
K2-177 b,K2-177,1,1,Transit,2018,0,14.155185,,2.1162048,0.18879515,,,,,6063.0,1.213565,1.210525,492.167
K2-178 b,K2-178,1,1,Transit,2018,0,8.75470797754,,3.54381082,0.31615817,,,117.826,840.29,5888.0,0.889347,,214.753
K2-179 b,K2-179,1,1,Transit,2018,0,5.17222,,2.12,0.189,,,,,,0.639,,190.81
K2-18 b,K2-18,1,2,Transit,2015,0,32.94171,,1.4,0.12,,,,,,0.249,,38.0266
K2-18 c,K2-18,1,2,Radial Velocity,2017,1,8.962,0.06,,,7.51,0.02362898,,363.0,3457.0,0.411,0.359,38.0266
K2-180 b,K2-180,1,1,Transit,2018,0,8.867209,0.0753,2.31,0.2060844,,,,731.0,5358.0,0.72,0.72,203.896
K2-181 b,K2-181,1,1,Transit,2018,0,6.894256,0.0706,2.84,0.25336783,,,,962.0,5608.0,1.07,0.99,360.911
K2-182 b,K2-182,1,1,Transit,2018,0,4.737,,,,,,,,5180.6,0.790862,0.878,154.83
K2-183 b,K2-183,1,3,Transit,2018,0,0.469285,,1.1,0.0981356,,,,,5482.0,0.87,,329.041
K2-183 c,K2-183,1,3,Transit,2018,0,10.792635,0.0932,2.87,0.25604425,,,,787.0,5519.0,0.97,0.93,329.041
K2-183 d,K2-183,1,3,Transit,2018,0,22.634594,,17.4,1.55,,,,,,0.92,,329.041
K2-184 b,K2-184,1,1,Transit,2018,0,16.995848,,1.6,0.14,,,,,,0.79,,75.5857
K2-185 b,K2-185,1,2,Transit,2018,0,10.6161,,1.19,0.106,,,,,,0.891,,268.357
K2-185 c,K2-185,1,2,Transit,2018,0,52.7099,,2.48,0.221,,,,,,0.891,,268.357
K2-186 b,K2-186,1,1,Transit,2018,0,41.474219,,3.17207779,0.28299383,,,,,5784.0,0.98083,1.018617,330.739
K2-187 b,K2-187,1,4,Transit,2018,0,0.773981,,1.3833597,0.12341509,,,,,5477.0,0.894913,0.966999,330.916
K2-187 c,K2-187,1,4,Transit,2018,0,2.871348,,1.8,0.16,,,,,,0.96,,330.916
K2-187 d,K2-187,1,4,Transit,2018,0,7.149584,,2.4,0.21411403,,,,,5438.0,0.83,,330.916
K2-187 e,K2-187,1,4,Transit,2018,0,13.608341,,2.25541631,0.20121477,,,,,5477.0,0.894913,0.966999,330.916
K2-188 b,K2-188,1,2,Transit,2018,0,1.742983,,1.25908622,0.11232815,,,,,5982.0,1.109202,1.106611,446.821
K2-188 c,K2-188,1,2,Transit,2018,0,7.807595,,2.62511304,0.2341969,,,,,5982.0,1.109202,1.106611,446.821
K2-189 b,K2-189,1,2,Transit,2018,0,5.1763,,1.51234354,0.13492225,,,,,5503.0,0.862285,0.927528,242.113
K2-189 c,K2-189,1,2,Transit,2018,0,6.67773603,,,,,,,,5468.0,0.866405,0.956,242.113
K2-19 b,K2-19,1,3,Transit,2015,0,7.9222,,7.0,0.62449925,32.4,0.1019418,,,5322.0,0.82,0.88,289.827
K2-19 c,K2-19,1,3,Transit,2015,0,11.8993,,4.1,0.36577813,10.8,0.0339806,,,5322.0,0.82,0.88,289.827
K2-19 d,K2-19,1,3,Transit,2016,0,2.50856,,1.14,0.10170399,14.0,0.04404871,,,5430.0,0.86,0.93,289.827
K2-190 b,K2-190,1,2,Transit,2018,0,10.099,,,,,,,,5605.6,0.980624,0.991,160.679
K2-190 c,K2-190,1,2,Transit,2018,0,21.574023,,1.09308317,0.09751835,,,,,5631.0,0.912206,0.904597,160.679
K2-191 b,K2-191,1,1,Transit,2018,0,2.858646,,1.57889322,0.14085942,,,,,5176.0,0.839696,0.900994,287.188
K2-192 b,K2-192,1,1,Transit,2018,0,4.163221,,1.57477412,0.14049194,,,,,5252.0,0.828268,0.872619,221.753
K2-193 b,K2-193,1,1,Transit,2018,0,14.786,,,,,,,,5576.0,0.982083,0.984,411.923
